"id","count","mean","median","sd","min","max"
"all",13036,0.140819292785989,1.12661820665132,4.00221119300461,-24.5218724326066,25.5068339018256
"down",4906,-3.97924826826907,-3.52184012802176,2.2227626673417,-24.5218724326066,-1.50110616721801
"up",5626,3.79856899515432,3.43881626125529,1.984014398426,1.50027423222406,25.5068339018256
