rowname
AT66_p01
AT66_p02
AT66_p03
AT66_p04
AT66_p05
AT66_p06
AT66_p07
AT66_p08
AT66_p09
AT66_p10
AT66_p11
AT66_p12
AT66_p13
AT66_p14
AT66_p15
AT66_p15a
AT66_p16
AT66_p17
AT66_p18
AT66_p19
AT66_p20
AT66_p21
AT66_p22
AT66_p23
AT66_p24
AT66_p25
AT66_p26
AT66_r02
AT66_r03
AT66_t01
AT66_t02
AT66_t03
AT66_t04
AT66_t05
AT66_t06
AT66_t07
AT66_t08
AT66_t09
AT66_t10
AT66_t11
AT66_t12
AT66_t13
AT66_t14
AT66_t15
HeanCp001
HeanCp002
HeanCp003
HeanCp004
HeanCp005
HeanCp006
HeanCp007
HeanCp008
HeanCp009
HeanCp010
HeanCp011
HeanCp012
HeanCp013
HeanCp014
HeanCp015
HeanCp016
HeanCp017
HeanCp018
HeanCp019
HeanCp020
HeanCp021
HeanCp022
HeanCp023
HeanCp024
HeanCp025
HeanCp026
HeanCp027
HeanCp028
HeanCp029
HeanCp030
HeanCp031
HeanCp032
HeanCp033
HeanCp034
HeanCp035
HeanCp036
HeanCp037
HeanCp038
HeanCp039
HeanCp040
HeanCp041
HeanCp042
HeanCp043
HeanCp044
HeanCp045
HeanCp046
HeanCp047
HeanCp048
HeanCp049
HeanCp050
HeanCp051
HeanCp052
HeanCp053
HeanCp054
HeanCp055
HeanCp056
HeanCp057
HeanCp058
HeanCp059
HeanCp060
HeanCp061
HeanCp062
HeanCp063
HeanCp064
HeanCp065
HeanCp066
HeanCp067
HeanCp068
HeanCp070
HeanCp071
HeanCp072
HeanCp073
HeanCp074
HeanCp075
HeanCp076
HeanCp077
HeanCp078
HeanCp079
HeanCp080
HeanCp081
HeanCp084
HeanCp085
HeanCp086
HeanCp087
HeanCp088
HeanCr001
HeanCr002
HeanCr003
HeanCr004
HeanCr005
HeanCr006
HeanCr007
HeanCr008
HeanCt001
HeanCt002
HeanCt004
HeanCt005
HeanCt006
HeanCt007
HeanCt008
HeanCt009
HeanCt010
HeanCt011
HeanCt012
HeanCt013
HeanCt014
HeanCt015
HeanCt016
HeanCt017
HeanCt018
HeanCt019
HeanCt020
HeanCt021
HeanCt022
HeanCt023
HeanCt024
HeanCt025
HeanCt026
HeanCt027
HeanCt028
HeanCt029
HeanCt030
HeanCt031
HeanCt032
HeanCt033
HeanCt034
HeanCt035
HeanCt036
HeanCt037
HeanCt038
HeanCt039
HeanCt040
HeanCt041
HeanCt042
HeanCt043
HeanCt044
LOC110863686
